id	kritiker_etternavn	kritiker_fornavn	kritiker_kjonn	kritiker_pseudonym	kritiker_kommentar	kritikktype	publikasjon	utgivelsessted	aar	dato	aargang	nummer	bind	hefte	sidetall	utgivelseskommentar	tittel	spraak	kommentar	forfatter_etternavn	forfatter_fornavn	forfatter_kommentar	forfatter_kjonn	verk_tittel	verk_utgivelsessted	verk_dato	verk_sjanger	verk_spraak	verk_kommentar
1	Ploug	Carsten	mann	C.P.		dagskritikk	Fædrelandet	København	1880			176						dansk		Caspari	Theodor		mann	Polemiske Sonetter	Kristiania	1880	lyrikk	bokmål	
2	Hultin	Arvid	mann			artikkel	Finsk Tidskrift		1880		2				282-486					Caspari	Theodor		mann	Polemiske Sonetter	Kristiania	1880	lyrikk	bokmål	
3	Randers	Kristofer	mann			debatt, dikt	Polemiske Sonetter. Et Tilsvar	Kristiania	1880											Caspari	Theodor		mann	Polemiske Sonetter	Kristiania	1880	lyrikk	bokmål	
4	Lassen	Hartvig	mann			artikkel, debatt	Kritik og Polemik. Smaaskrifter		1880						26-35					Caspari	Theodor		mann	Polemiske Sonetter	Kristiania	1880	lyrikk	bokmål	
5	Færden	Michael Joh.	mann	M.F.		dagskritikk	Morgenbladet		1883							116A, 120A, 123A, 156A, 127A				Caspari	Theodor		mann	Tidsbilleder	Christiania	1883	lyrikk	bokmål	
6			ukjent	f.		artikkel	Dansk Kirketidende		1883			48						dansk		Caspari	Theodor		mann	Tidsbilleder	Christiania	1883	lyrikk	bokmål	
7	Caspari	Theodor	mann			dagskritikk	Kristiansundsposten		1884										teaterkritikk	Ibsen	Henrik		mann	Vildanden	København	1884	drama	bokmål	
8	anonym		ukjent			dagskritikk	Bergens Adressecontoirs Efterretninger		1873											Colban	Adolphine Marie		kvinne	Tre Noveller, tilegnet de norske Kvinder	Christiania	1873	kortprosa	bokmål	
9	anonym		ukjent			dagskritikk	Dagbladet	København	1873									dansk		Colban	Adolphine Marie		kvinne	Tre Noveller, tilegnet de norske Kvinder	Christiania	1873	kortprosa	bokmål	
10			ukjent	O.S.		dagskritikk	Fædrelandet	København	1875			298						dansk		Colban	Adolphine Marie		kvinne	Tre nye noveller	København	1875	kortprosa	bokmål	
11	anonym		ukjent			dagskritikk	Dagbladet		1877	8. des										Colban	Adolphine Marie		kvinne	Jeg lever	København	1877	roman	bokmål	
12	anonym		ukjent			dagskritikk	Aftenbladet		1877			299								Colban	Adolphine Marie		kvinne	Jeg lever	København	1877	roman	bokmål	
13	anonym		ukjent			dagskritikk	Aftenposten		1882			298 A								Colban	Adolphine Marie		kvinne	Thyra	København	1882	roman	bokmål	
14	Schjøtt	Mathilde	kvinne	M.S.		artikkel	Nyt Tidsskrift		1882		1				581 flg.					Colban	Adolphine Marie		kvinne	Thyra	København	1882	roman	bokmål	
15	Winter-Hjelm	Henrik	mann			artikkel	Norsk Tidsskrift for Videnskab og Litteratur		1855		7				385-397					Collett	Camilla		kvinne	Amtmandens Døttre	Christiania	1855	roman	bokmål	
16	Botten-Hansen	Paul	mann			dagskritikk	Illustreret Nyhedsblad		1855			26								Collett	Camilla		kvinne	Amtmandens Døttre	Christiania	1855	roman	bokmål	
17			ukjent	S.N.		dagskritikk	Christiania-Posten		1855			2319, 2321, 2328, 2451								Collett	Camilla		kvinne	Amtmandens Døttre	Christiania	1855	roman	bokmål	
18	anonym		ukjent			artikkel, debatt	Aftenbladet		1855			59, 63					Til Anmelderen af Amtmandens Døttre i Christiania-Posten			Collett	Camilla		kvinne	Amtmandens Døttre	Christiania	1855	roman	bokmål	
19	Nicolaysen	R.N.	mann			dagskritikk	Aftenbladet		1855			24, 136								Collett	Camilla		kvinne	Amtmandens Døttre	Christiania	1855	roman	bokmål	
20	anonym		ukjent			dagskritikk	Bergensposten		1855			93								Collett	Camilla		kvinne	Amtmandens Døttre	Christiania	1855	roman	bokmål	
21			ukjent	M.q.		artikkel	En Anmeldelse af "Amtmandens Døttre"	København	1862									dansk		Collett	Camilla		kvinne	Amtmandens Døttre	Christiania	1860	roman	bokmål	2. utgave
22	Petersen	Clemens	mann			dagskritikk	Fædrelandet	København	1860			305						dansk		Collett	Camilla		kvinne	Amtmandens Døttre	Christiania	1860	roman	bokmål	2. utgave
23	anonym		ukjent			artikkel	Ude og Hjemme. Nordisk illustreret Ugeblad	København	1879			94						dansk		Collett	Camilla		kvinne	Amtmandens Døttre	Christiania	1855	roman	bokmål	3. utgave 1879
24	anonym		ukjent			artikkel	Illustreret Nyhedsblad		1860			52								Collett	Camilla		kvinne	Fortællinger	Christiania	1861	fortelling	bokmål	
25	anonym		ukjent			artikkel	Illustreret Nyhedsblad		1862											Collett	Camilla		kvinne	I de lange Nætter	Christiania	1863	biografi/memoarer	bokmål	
26	anonym		ukjent			dagskritikk	Morgenbladet		1868			398								Collett	Camilla		kvinne	Sidste Blade. Erindringer og Betragtninger	København	1868	biografi/memoarer	bokmål	
27	anonym		ukjent			dagskritikk	Aftenposten		1868			273								Collett	Camilla		kvinne	Sidste Blade. Erindringer og Betragtninger	København	1868	biografi/memoarer	bokmål	
28	anonym		ukjent			dagskritikk	Skilling-Magazin		1868			41								Collett	Camilla		kvinne	Sidste Blade. Erindringer og Betragtninger	København	1868	biografi/memoarer	bokmål	
29	anonym		ukjent			dagskritikk	Folkets Avis		1868			237								Collett	Camilla		kvinne	Sidste Blade. Erindringer og Betragtninger	København	1868	biografi/memoarer	bokmål	
30	anonym		ukjent			dagskritikk	Dagens Nyheder		1868			23						svensk		Collett	Camilla		kvinne	Sidste Blade. Erindringer og Betragtninger	København	1868	biografi/memoarer	bokmål	
31	anonym		ukjent			dagskritikk	Berlingske Tidende		1868			296						dansk		Collett	Camilla		kvinne	Sidste Blade. Erindringer og Betragtninger	København	1868	biografi/memoarer	bokmål	
32	anonym		ukjent			dagskritikk	Illustreret Tidende	København	1868		10				41			dansk		Collett	Camilla		kvinne	Sidste Blade. Erindringer og Betragtninger	København	1868	biografi/memoarer	bokmål	
33	anonym		ukjent			dagskritikk	Morgenbladet		1878			57 B								Collett	Camilla		kvinne	Sidste Blade. Erindringer og Betragtninger	København	1868	biografi/memoarer	bokmål	
34	anonym		ukjent			dagskritikk	Dagbladet		1877			299 B								Collett	Camilla		kvinne	Sidste Blade. Erindringer og Betragtninger	København	1868	biografi/memoarer	bokmål	
35	anonym		ukjent			dagskritikk	Berlingske Tidende		1878			19						dansk		Collett	Camilla		kvinne	Fra de Stummes Lejr	Christiania	1877	essay	bokmål	
36	anonym		ukjent			dagskritikk	Dagbladet		1877			299 B								Collett	Camilla		kvinne	Fra de Stummes Lejr	Christiania	1877	essay	bokmål	
37	Collett	Camilla	kvinne			artikkel, debatt	Dagbladet		1878			40								Collett	Camilla		kvinne	Fra de Stummes Lejr	Christiania	1877	essay	bokmål	
38			kvinne	Ljå Flein		artikkel, debatt	Fra de talendes lejr. Flyveblad til fru Camilla Collett	København	1878									dansk		Collett	Camilla		kvinne	Fra de Stummes Lejr	Christiania	1877	essay	bokmål	
39			kvinne	Justina		artikkel, debatt	Endnu et par ord om fru Colletts "Fra de stummes lejr"	København	1878									dansk		Collett	Camilla		kvinne	Fra de Stummes Lejr	Christiania	1877	essay	bokmål	
40	Collett	Camilla	kvinne			artikkel, debatt	Et lyst Billede i en mørk Ramme	København	1878							egenpublisert				Collett	Camilla		kvinne	Fra de Stummes Lejr	Christiania	1877	essay	bokmål	
41	Fibiger	Elfride	kvinne			artikkel, debatt	Nordisk Maanedskrift for folkelig og kristelig Oplysning		1878		1				286 flg.			dansk		Collett	Camilla		kvinne	Fra de Stummes Lejr	Christiania	1877	essay	bokmål	
42	Frederiksen	K.	kvinne			artikkel, debatt	Nationaløkonomisk tidsskrift		1878									dansk		Collett	Camilla		kvinne	Fra de Stummes Lejr	Christiania	1877	essay	bokmål	
43	Futtrup	Johanne	ukjent	Lja Flejn		artikkel, debatt	Adskilligt om og til kvinden	Kjøbenhavn	1879									dansk		Collett	Camilla		kvinne	Fra de Stummes Lejr	Christiania	1877	essay	bokmål	
44	Collett	Camilla	kvinne			artikkel, debatt	Nordisk Tidskrift		1877						271-293		Et Gjenmæle		debatt med Henrik Jæger	Collett	Camilla		kvinne						
45	Collett	Camilla	kvinne			artikkel	Den Constitutionelle		1842			30								Gyllembourg	Thomasine		kvinne	Nær og Fjern	København	1842	kortprosa	dansk	novelle
46	Dietrichson	Lorentz	mann			artikkel	Alf Collett. En Gammel Christiania-Slægt. Optegnelser om Familien Collett og Christianias Fortid		1883						335-339					Collett	Camilla		kvinne						
47	Elster	Kristian d.e.	mann			artikkel	Aftenbladet		1869			220-221								Collett	Camilla		kvinne						
48	Dietrichson	Lorentz	mann			artikkel, historie	Den norske Poesis Historie		1861		2				161-163					Collett	Camilla		kvinne						
49	Jæger	Henrik	mann			artikkel, historie	Literaturhistoriske Pennetegninger	København	1878						263-347					Collett	Camilla		kvinne						
50	Jæger	Henrik	mann			artikkel	Nordisk Tidskrift		1877		2				01.01.1950					Collett	Camilla		kvinne						
51	Collett	Camilla	mann			artikkel, debatt	Nordisk Tidskrift		1877		2				271 flg.					Collett	Camilla		kvinne						
52	Jæger	Henrik	mann			artikkel, debatt	Nordisk Tidskrift		1877		2				294-307					Collett	Camilla		kvinne			1877			II, s.257-275, 337-358, Nyt Norsk Tidskrift
53	Collett	Peter Jonas	mann	C., 9		artikkel	Den Constitutionelle		1837			332, 334								Schwach	Conrad Nicolai		mann	Samlede Digte	Christiania	1837	lyrikk	bokmål	
54	Collett	Peter Jonas	mann			artikkel, debatt	Den Constitutionelle		1837			350								Schwach	Conrad Nicolai		mann	Samlede Digte	Christiania	1837	lyrikk	bokmål	
55	Collett	Peter Jonas	mann			artikkel, debatt	Den Constitutionelle		1838			122, 124, 125, 129, 130								Wergeland	Henrik		mann						
56	Collett	Peter Jonas	mann			artikkel, debatt	Den Constitutionelle		1838			152								Wergeland	Henrik		mann						
57	Collett	Peter Jonas	mann			artikkel, historie	Den Constitutionelle		1839			40, 42					Om vor nyere novelle-litteratur						ukjent						
58	Collett	Robert	mann			artikkel	Norsk Tidsskrift for Literatur		1876-1877														ukjent						
59	Daa	Ludvig Kristensen	mann			artikkel	Granskeren		1840-1843		2	14-17								Wergeland	Henrik		mann	Engelsk Salt	Christiania	1841	drama	bokmål	farse
60	Collett	Peter Jonas	mann			artikkel, historie	Den Constitutionelle		1840			76-77					Om den franske journallitteratur						ukjent						
61	Wergeland	Henrik	mann			artikkel, debatt	Morgenbladet		1841			58							Svar til Daa	Wergeland	Henrik		mann	Engelsk Salt	Christiania	1841	drama	bokmål	farse
62	Daa	Ludvig Kristensen	mann			artikkel, debatt	Granskeren		1840-1843		2				207 flg.				Svar Wergeland	Wergeland	Henrik		mann	Engelsk Salt	Christiania	1841	drama	bokmål	farse
63	Wergeland	Henrik	mann			artikkel, debatt	Granskeren		1840-1843		2				209				Svar Daa	Wergeland	Henrik		mann	Engelsk Salt	Christiania	1841	drama	bokmål	farse
64	Daa	Ludvig Kristensen	mann			artikkel	Granskeren		1842-1843		2	22-24		4						Wergeland	Henrik		mann	Vinægers Fjeldeventyr	Christiania	1841	drama	bokmål	farse
65	Daa	Ludvig Kristensen	mann			artikkel	Den norske Tilskuer		1851-1853										Flere dagskritikker og artikler				ukjent						
66	Daa	Ludvig Kristensen	mann			artikkel	Tids-Tavler		1872-1876		1-4								Flere dagskritikker og artikler				ukjent						
67	Daa	Ludvig Kristensen	mann			artikkel, debatt	Tids-Tavler		1872		1				289-338		Wergelandiana			Wergeland	Henrik		mann						
68	Daa	Ludvig Kristensen	mann			dagskritikk	Morgenbladet		1839-1869										Flere dagskritikker				ukjent						
69	Daae	Ludvig	mann			artikkel, historie	Om den norrøne litteraturs Forhold til Norge og norsk Kultur	Christiania	1868														ukjent						
70	Daae	Ludvig	mann			artikkel	Illustreret Nyhedsblad		1858			41					Jeremias Collier. Et Tidsbillede fra engelsk Litteratur			Collier	Jeremias		mann						
71	Erichsen	Andreas Emil	mann			dagskritikk	Morgenbladet		1870			350								Daae	Ludvig	Utgiver	mann	Norske Bygdesagn, samlede af Ludvig Daae	Christiania	1870	kortprosa	bokmål	
72	Rørdam	H.F.	mann			dagskritikk	Fædrelandet	København	1871			99								Daae	Ludvig	Utgiver	mann	Norske Bygdesagn, samlede af Ludvig Daae	Christiania	1870	kortprosa	bokmål	
73			ukjent	C.o.		dagskritikk	Framtiden. Tidskrift för fosterländsk odling	Stockholm	1871		6				534-537					Daae	Ludvig	Utgiver	mann	Norske Bygdesagn, samlede af Ludvig Daae	Christiania	1870	kortprosa	bokmål	
74	anonym		ukjent			dagskritikk	Morgenbladet		1881			338 A								Daae	Ludvig	Utgiver	mann	Norske Bygdesagn	Christiania	1881	kortprosa	bokmål	Første Samling, anden Udgave
75	anonym		ukjent			dagskritikk	Ny Illustreret Tidende		1881						458					Daae	Ludvig	Utgiver	mann	Norske Bygdesagn	Christiania	1881	kortprosa	bokmål	Første Samling, anden Udgave
76	Moe	Moltke	mann			artikkel	Nordisk Tidskrift												Utgiver: Den Letterstedtske forening	Daae	Ludvig	Utgiver	mann	Norske Bygdesagn	Christiania	1881	kortprosa	bokmål	Første Samling, anden Udgave
77	anonym		ukjent			artikkel	Ny Illustreret Tidende		1873			25								Daa	Ludvig		mann						
78	Daae	Ludvig	mann			artikkel, forfatterportrett	Historisk Tidsskrift		1872				1. R., I		241-296		Optegnelser til Ludvig Holbergs Biographi			Holberg	Ludvig		mann						
79	Daae	Ludvig	mann			artikkel	Historisk Tidsskrift		1873-1875				1. R., III		492-501		Hvem er forfatter til Digtet Querelae Suedicae?						ukjent						
80	Daae	Ludvig	mann			artikkel, marked	Morgenbladet		1879	13. des							Danske og norske Forleggere						ukjent						
81	Daae	Ludvig	mann			artikkel, forfatterportrett	Skilling-Magazin		1869			1								Welhaven	Johan Sebastian		mann						
82	Daae	Ludvig	mann			artikkel, forfatterportrett	Illustreret Nyhedsblad		1862			5								Storm	Edvard		mann						
83	Daae	Ludvig	mann			artikkel, marked	Aftenbladet		1865			290, 294, 291					Et ord om det norske Bogvæsens Tilstand						ukjent						
84	Daae	Ludvig	mann			artikkel, debatt	Aftenbladet		1866			260								Dietrichson	Lorentz		mann	Omrids af den norske Poesis Historie, I	Christiania	1866-1869	annen sakprosa	bokmål	litteraturhistorie
85	Daae	Ludvig	mann			artikkel, marked	Aftenbladet		1867			255					Boghandlerstriden						ukjent						
86	Daae	Ludvig	mann			artikkel, forfatterportrett	Morgenbladet		1870			215, 217								Vinje	Aasmund Olavsson		mann						
