"id","created_at","updated_at","deleted_at","etternavn","fornavn","kjonn","fodt","dod","bibsys_id","wikidata_id"
4283,"2019-11-07 12:37:30","2019-11-07 12:37:30",,"","",,,,,
1489,"2019-08-16 11:00:32","2019-08-16 11:00:32",,"Aabel","Andreas","m",,,,
2028,"2019-08-16 11:01:52","2019-08-16 11:01:52",,"Aabel","Morten A.L.","m",,,,
3468,"2019-08-16 11:03:53","2019-08-16 11:03:53",,"Aabel","Hauk","m",,,,
1210,"2019-08-16 11:00:09","2019-08-16 11:00:09",,"Aadahl","Thorvald","m",,,,
1490,"2019-08-16 11:00:32","2019-08-16 11:00:32",,"Aagaard","Oscar","m",,,,
1212,"2019-08-16 11:00:09","2019-08-16 11:00:09",,"Aakjær","Jeppe","m",,,,
1675,"2019-08-16 11:01:17","2019-08-16 11:01:17",,"Aalheim","T.","m",,,,
2083,"2019-08-16 11:01:59","2019-08-16 11:01:59",,"Aalholm","Niels Mathias","m",,,,
2112,"2019-08-16 11:02:05","2019-08-16 11:02:05",,"Aalholm","Niels M.","m",,,,
1404,"2019-08-16 11:00:22","2019-08-16 11:00:22",,"Aall","A.","m",,,,
1413,"2019-08-16 11:00:23","2019-08-16 11:00:23",,"Aall","Herman Harris","m",,,,
1866,"2019-08-16 11:01:37","2019-08-16 11:01:37",,"Aall","Anathon","m",,,,
3055,"2019-08-16 11:03:34","2019-08-16 11:03:34",,"Aall","Jacob","m",,,,
1683,"2019-08-16 11:01:18","2019-08-16 11:01:18",,"Aamlid","Aamund","m",,,,
2803,"2019-08-16 11:02:55","2019-08-16 11:02:55",,"Aamlid","Aanund","m",,,,
1449,"2019-08-16 11:00:26","2019-08-16 11:00:26",,"Aamot","Kristoffer","m",,,,
2635,"2019-08-16 11:02:37","2019-08-16 11:02:37",,"Aamot","Einar","m",,,,
630,"2019-08-16 10:59:35","2019-08-16 10:59:35",,"Aanrud","Hans","m",,,,
4016,"2019-08-16 11:04:03","2019-08-16 11:04:03",,"Aareskjold","Solveig Vølstad","f",,,,
2029,"2019-08-16 11:01:52","2019-08-16 11:01:52",,"Aarflot","Mauritz","m",,,,
2463,"2019-08-16 11:02:22","2019-08-16 11:02:22",,"Aarflot","M.","m",,,,
2786,"2019-08-16 11:02:54","2019-08-16 11:02:54",,"Aarflot","Sivert","m",,,,
3056,"2019-08-16 11:03:34","2019-08-16 11:03:34",,"Aarflot","Berthe Canutte","f",,,,
1826,"2019-08-16 11:01:32","2019-08-16 11:01:32",,"Aarnes","Hans","m",,,,
3811,"2019-08-16 11:03:59","2019-08-16 11:03:59",,"Aarnes","Asbjørn","m",,,,
2200,"2019-08-16 11:02:08","2019-08-16 11:02:08",,"Aarrestad","Sven","m",,,,
659,"2019-08-16 10:59:37","2019-08-16 10:59:37",,"Aars","Jacob","m",,,,
945,"2019-08-16 10:59:49","2019-08-16 10:59:49",,"Aars","J.","m",,,,
1414,"2019-08-16 11:00:23","2019-08-16 11:00:23",,"Aars","Sophus","m",,,,
1493,"2019-08-16 11:00:33","2019-08-16 11:00:33",,"Aars","Marna","f",,,,
2044,"2019-08-16 11:01:53","2019-08-16 11:01:53",,"Aars","Jakob Jonathan","m",,,,
2856,"2019-08-16 11:03:00","2019-08-16 11:03:00",,"Aars","Kristian B.","m",,,,
1719,"2019-08-16 11:01:22","2019-08-16 11:01:22",,"Aarstad","H.","m",,,,
1650,"2019-08-16 11:01:15","2019-08-16 11:01:15",,"Aarvik","Erik","m",,,,
2020,"2019-08-16 11:01:52","2019-08-16 11:01:52",,"Aas","Ovida","f",,,,
2316,"2019-08-16 11:02:13","2019-08-16 11:02:13",,"Aas","Oddvar","m",,,,
2323,"2019-08-16 11:02:14","2019-08-16 11:02:14",,"Aas","Lars","m",,,,
2640,"2019-08-16 11:02:38","2019-08-16 11:02:38",,"Aas","Ingeborg","f",,,,
3217,"2019-08-16 11:03:49","2019-08-16 11:03:49",,"Aas","L.","u",,,,
3598,"2019-08-16 11:03:55","2019-08-16 11:03:55",,"Aas","Alf-Jørgen","m",,,,
173,"2019-08-16 10:59:19","2019-08-16 10:59:19",,"Aasen","Ivar","m",,,,
1168,"2019-08-16 11:00:08","2019-08-16 11:00:08",,"Aasen","Arne Paasche","m",,,,
3943,"2019-08-16 11:04:02","2019-08-16 11:04:02",,"Aasen","Elisabeth","f",,,,
838,"2019-08-16 10:59:43","2019-08-16 10:59:43",,"Aasvejen","Haakon","m",,,,
2410,"2019-08-16 11:02:18","2019-08-16 11:02:18",,"Aavatsmark","Ole Severin","m",,,,
1496,"2019-08-16 11:00:33","2019-08-16 11:00:33",,"Abrahamsen","Augusta","f",,,,
3049,"2019-08-16 11:03:32","2019-08-16 11:03:32",,"Abrahamsen","Enok","m",,,,
1038,"2019-08-16 10:59:57","2019-08-16 10:59:57",,"Abrahamson","Werner H.F.","m",,,,
1097,"2019-08-16 11:00:04","2019-08-16 11:00:04",,"Abrahamson","Enok","m",,,,
2918,"2019-08-16 11:03:09","2019-08-16 11:03:09",,"Abrahamson","W.H.F.","m",,,,
2440,"2019-08-16 11:02:21","2019-08-16 11:02:21",,"Abusdal","Gunnar","m",,,,
1851,"2019-08-16 11:01:34","2019-08-16 11:01:34",,"Acharya","Sri Ananda","m",,,,
797,"2019-08-16 10:59:41","2019-08-16 10:59:41",,"Adlersparre","Sophie","f",,,,
1417,"2019-08-16 11:00:23","2019-08-16 11:00:23",,"Ager","Waldemar","m",,,,
317,"2019-08-16 10:59:22","2019-08-16 10:59:22",,"Ahlgren","Ernst","f",,,,
3544,"2019-08-16 11:03:54","2019-08-16 11:03:54",,"Ahlin","Lars",,,,,
3079,"2019-08-16 11:03:37","2019-08-16 11:03:37",,"Ahlman","A.","m",,,,
3216,"2019-08-16 11:03:49","2019-08-16 11:03:49",,"Ahlmann","Hans","m",,,,
3306,"2019-08-16 11:03:51","2019-08-16 11:03:51",,"Ahln",,,,,,
1213,"2019-08-16 11:00:09","2019-08-16 11:00:09",,"Aikio","Matti","m",,,,
786,"2019-08-16 10:59:41","2019-08-16 10:59:41",,"Aischylos",,"m",,,,
3785,"2019-08-16 11:03:59","2019-08-16 11:03:59",,"Akhmatova","Anna","f",,,,
3932,"2019-08-16 11:04:01","2019-08-16 11:04:01",,"Aksjonov","Vasilij","m",,,,
3651,"2019-08-16 11:03:56","2019-08-16 11:03:56",,"Alcott","Louisa May","f",,,,
4001,"2019-08-16 11:04:03","2019-08-16 11:04:03",,"Alfarnes","Oddvin","m",,,,
4130,"2019-08-16 11:04:05","2019-08-16 11:04:05",,"Alfsen","Merete","f",,,,
3633,"2019-08-16 11:03:55","2019-08-16 11:03:55",,"Alighieri","Dante","m",,,,
4052,"2019-08-16 11:04:04","2019-08-16 11:04:04",,"Allden","Lars","m",,,,
3950,"2019-08-16 11:04:02","2019-08-16 11:04:02",,"Allen","Robert",,,,,
4058,"2019-08-16 11:04:04","2019-08-16 11:04:04",,"Allende","Isabel","f",,,,
1790,"2019-08-16 11:01:29","2019-08-16 11:01:29",,"Allum","Hans","m",,,,
1915,"2019-08-16 11:01:42","2019-08-16 11:01:42",,"Alme","Edvard","m",,,,
3718,"2019-08-16 11:03:57","2019-08-16 11:03:57",,"Alnæs","Finn","m",,,,
2336,"2019-08-16 11:02:15","2019-08-16 11:04:06",,"Alsvik","Otlu","m",,,,
3279,"2019-08-16 11:03:50","2019-08-16 11:03:50",,"Alten","Edvin","m",,,,
3303,"2019-08-16 11:03:51","2019-08-16 11:03:51",,"Alun",,,,,,
1554,"2019-08-16 11:00:42","2019-08-16 11:00:42",,"Alver","Johan Ludvig","m",,,,
1795,"2019-08-16 11:01:30","2019-08-16 11:01:30",,"Alvestad","Olaus","m",,,,
2645,"2019-08-16 11:02:38","2019-08-16 11:02:38",,"Alvestad","Karl","m",,,,
2441,"2019-08-16 11:02:21","2019-08-16 11:02:21",,"Alvestad-Håkonsson","Maria","f",,,,
2697,"2019-08-16 11:02:45","2019-08-16 11:02:45",,"Alvheim","Olav","m",,,,
2278,"2019-08-16 11:02:10","2019-08-16 11:02:10",,"Amble","Alf","m",,,,
2143,"2019-08-16 11:02:06","2019-08-16 11:02:06",,"Ambli","Johanna","f",,,,
902,"2019-08-16 10:59:47","2019-08-16 10:59:47",,"Amdal","Paul","m",,,,
1828,"2019-08-16 11:01:32","2019-08-16 11:01:32",,"Amundsen","Einar","m",,,,
2255,"2019-08-16 11:02:09","2019-08-16 11:02:09",,"Amundsen","Sverre S.","m",,,,
2632,"2019-08-16 11:02:36","2019-08-16 11:02:36",,"Amundsen","Jens","m",,,,
3269,"2019-08-16 11:03:50","2019-08-16 11:03:50",,"Amundsen","Leiv","m",,,,
1639,"2019-08-16 11:01:13","2019-08-16 11:01:13",,"An-Ski","S.","u",,,,
306,"2019-08-16 10:59:22","2019-08-16 10:59:22",,"Andersen","Otto","m",,,,
425,"2019-08-16 10:59:27","2019-08-16 10:59:27",,"Andersen","Johan","m",,,,
1092,"2019-08-16 11:00:03","2019-08-16 11:00:03",,"Andersen","A.M.","m",,,,
1217,"2019-08-16 11:00:10","2019-08-16 11:00:10",,"Andersen","Tryggve","m",,,,
1253,"2019-08-16 11:00:11","2019-08-16 11:00:11",,"Andersen","Vilhelm","m",,,,
1635,"2019-08-16 11:01:13","2019-08-16 11:01:13",,"Andersen","Thor M.","m",,,,
1882,"2019-08-16 11:01:39","2019-08-16 11:01:39",,"Andersen","Th.","m",,,,
2031,"2019-08-16 11:01:53","2019-08-16 11:01:53",,"Andersen","Ernst Petter","m",,,,
2032,"2019-08-16 11:01:53","2019-08-16 11:01:53",,"Andersen","Marie Christine","f",,,,
2980,"2019-08-16 11:03:19","2019-08-16 11:03:19",,"Andersen","Axel","m",,,,
3196,"2019-08-16 11:03:48","2019-08-16 11:03:48",,"Andersen","Trygve",,,,,
3222,"2019-08-16 11:03:49","2019-08-16 11:03:49",,"Andersen","Per Thomas","m",,,,
3257,"2019-08-16 11:03:50","2019-08-16 11:03:50",,"Andersen","Kristen","m",,,,
4045,"2019-08-16 11:04:04","2019-08-16 11:04:04",,"Andersen","Øyvind","m",,,,
1322,"2019-08-16 11:00:15","2019-08-16 11:00:15",,"Anderson","Rasmus B.","m",,,,
2033,"2019-08-16 11:01:53","2019-08-16 11:01:53",,"Anderson","Nils A.","m",,,,
4267,"2019-08-16 11:04:08","2019-08-16 11:04:08",,"Anderson","Gidske",,,,,
1027,"2019-08-16 10:59:57","2019-08-16 10:59:57",,"Anderssen","Otto","m",,,,
2324,"2019-08-16 11:02:14","2019-08-16 11:02:14",,"Anderssen","Odd-Stein","m",,,,
2529,"2019-08-16 11:02:26","2019-08-16 11:02:26",,"Anderssen-Rysst","Torgeir","m",,,,
1626,"2019-08-16 11:01:10","2019-08-16 11:01:10",,"Andreas-Salome","Lou","f",,,,
2123,"2019-08-16 11:02:05","2019-08-16 11:02:05",,"Andrejev","Leonid","m",,,,
2085,"2019-08-16 11:01:59","2019-08-16 11:01:59",,"Andresen","Jens Peter","m",,,,
3058,"2019-08-16 11:03:34","2019-08-16 11:03:34",,"Andresen","Peter Rasmussen","m",,,,
3657,"2019-08-16 11:03:56","2019-08-16 11:03:56",,"Andric","Ivo","m",,,,
1219,"2019-08-16 11:00:10","2019-08-16 11:00:10",,"Andvig","Jens","m",,,,
