"id","created_at","updated_at","deleted_at","created_by","updated_by","inv_no","section_or_side","material","connections","negative","acquisition","title_or_type","size","provenance","language","lines","palaeographic_description","author","content","people","places","origin","state_of_preservation","items","publ_side","genre","fullsizefront_r1","fullsizeback_r1","translation","bibliography","negative_in_copenhagen","date_cataloged","extent_genre","language_code","date1","date2","date","title_statement","material_long","subjects","public","p_oslo_vol","p_oslo_nr","internal_comments","conservation_notes","acquisition_year","trismegistos_url","papyri_dclp_url"
1,,"2021-02-09 23:53:25",,,,"323","Recto; Verso address","Pap",,"Yes","Purchased by Eitrem in Egypt 1920","Private letter","26 x 9.7 cm.","Unknown place, province of Egypt","Greek","Recto - 19;Verso - 1","Written along the fibres, on the back, is the address.","Dionysios","Letter from Dionysios to Theon, about purchase of fish and beans, warning about fraud","[""Dionysios"", ""Theon, also referred to as Theonas"", ""Theonas, also referred to as Theon"", ""Herakles, son of Petalos"", ""Petalos, father of Herakles"", ""Androus""]","[]","Unknown place, province of Egypt",,1,"Recto; Verso address","Documentary","323r.jpg","323v.jpg","Dionysios to his dearest Theon, very many greetings and for ever good health. When you reminded me of buying fish, I asked a friend of mine to buy 60 pigfishes for a drachma. I gave them to the person who came from you. But he himself bought 30 fishes for a drachma. I also gave him a basket. See to it that he does not cheat you, as he usually cheats in business affairs. When he himself made a buy, he only got 30 fishes, but 60 for you.And send me five artabas of beans instead of lentils.By the way, take care of yourself so that you are well.Give greetings to all of yours, and to Herakles, son of Petalos. Goodbye. In the Emperor's 30th year, 30. Mesore. - And the basket, send it to me with Androus.Verso:Give to Theonas","Kelly B, Petitions, litigation, and social control in Roman Egypt, Oxford 2011. p. 55 n. 68",TRUE,"2002-10-24","1 papyrus ; 26 x 9.7 cm.","grc","1",,"August 23, 1  A.D.","Private letter","Papyrus","[""Letter"", ""Fish"", ""Beans"", ""Lentils"", ""Baskets"", ""Fraud""]",TRUE,"I","47",,,,,"https://papyri.info/ddbdp/p.oslo;2;47"
2,,"2021-02-09 23:53:25",,,,"441","Recto","Pap",,"Yes","Purchased 1923 through British Museum, with M. Nahman, Cairo as the dealer. Cf. the reports and the inventory list by H. I. Bell","Private letter","12.5 x 10.7 cm.","Unknown place, province of Egypt","Greek","17",,,"Letter, no addressee, no sender mentioned, about various purchases","[""Aphys"", ""Hermanias""]","[]","Unknown place, province of Egypt",,1,"Recto, the Verso is blank","Documentary","441r.jpg",,"....Just price ... for the donkey driver ... they demand ... him ... because they steal immediately..... I ask you therefore to send with Hermanias (.....) the one with the donkey, ...  twenty pairs of bread(?) (cakes?) and one basket of artichokes (?) and send me phynikia. And as for the house-rent, (....for ....the lodger, what keeps you from giving her ......?)And if you have cabbage, send us eleven artabas and two drachmas for the expenditure. And if you sell the wheat, it is important to go down to the floor where the twenty artabas are. Give my greetings to my Aphys and my mother and everybody in the house.Be healthyIn the 5th year of Nero, our Lord, on Jan. 9th",,TRUE,,"1 papyrus ; 12.5 x 10.7 cm.","grc","61",,"January 9, 61 A.D.","Private letter","Papyrus","[""Letter"", ""Food""]",TRUE,"II","48",,,,,"https://papyri.info/ddbdp/p.oslo;2;48"
3,,"2021-02-09 23:53:25",,,,"324","Recto; Verso address","Pap",,"Yes","Purchased by Eitrem in Egypt 1920","Private letter","11 x 9.5 cm.","Probably Karanis, Herakleidou meris, Arsinoite nome, province of Egypt","Greek","Recto - 10;Verso - 1","Written in a clear hand. The address on the verso is written crosswise, as the folding ran, in large letters.","Severus","Letter from Severus to Limnaios, complaining that Limnaios did not meet him","[""Severus"", ""Limnaios""]","[""Arsinoiton polis"", ""Alexandria""]","Karanis, Herakleidou meris, Arsinoite nome, province of Egypt",,1,"Recto; Verso address","Documentary","324r.jpg","324v.jpg","Severus to the most respected Limnaios, greetings.I wish you to know that when you came to the town of Arsinoites, you were told that I came from Alexandria and  you did not come to meet me. I did not hope for such things from you. For I considered you a brother, but I have got an enemy ........ andVerso:Deliver at Karanis",,TRUE,,"1 papyrus ; 11 x 9.5 cm.","grc","1","199","Ist-IInd century A.D.","Private letter","Papyrus","[""Letter"", ""Travel""]",TRUE,"II","50",,,,,"https://papyri.info/ddbdp/p.oslo;2;50"
4,,"2021-02-09 23:53:25",,,,"1028v","Verso","Pap",,"Yes","Purchased from M. Nahman, Cairo, Febr. 18. 1929","Private letter","18.5 x 12 cm.","Unknown place, province of Egypt","Greek","Verso - 24 + 1 note in the left margin","Written in a nice upright hand.","Aurelius Philantinous","Letter from Aurelius Philantinous to his father Aurelius Ploution concerning some commercial or industrial enterprise probably having some connection with the fabrication or sale of papyrus rolls","[""Aurelius Philantinous, son of Aurelius Ploution"", ""Aurelius Ploution"", ""Lytus"", ""Tatermouthis""]","[]","Tebtynis, Polemonos meris, Arsinoite nome, province of Egypt",,1,"Verso; the Recto is unpublished","Documentary",,"1028v.jpg","Aurelius Philantinous to his father Aurelius Ploution very many greetings. Before all I pray for your health and I make supplication for you before the gods of this place.Please would you be so kind, if you want (me?) to arrange the new enterprise for you and Lytus, to transmit the available (deposited) things? For I have made sixteen deliveries for each of you, so that you have thirtytwo together, the price of which, at the rate of twelve drachmae, will be 384 drachmae in all. So if you want (me?) to do that, you must send the available ..., together with a letter, in order that I may serve you early. I submit myself to you now at once, so as not to neglect anything, but if you do not send them ... I have proved to be without reproach.",,TRUE,,"1 papyrus ; 18.5 x 12 cm.","grc","200","299","IIIrd century A.D.","Private letter","Papyrus","[""Papyrus"", ""Letter""]",TRUE,,,,,,,"https://papyri.info/ddbdp/sb;10;724"
5,,"2021-02-09 23:53:26",,,,"1023v","Verso","Pap",,"Yes","Purchased from M. Nahman, Cairo, Feb. 18, 1929","Private letter","24 x 12 cm.","Unknown place, province of Egypt","Greek","Verso - 19","Written in a nice upright hand.","Aurelius Philantinous","Letter from Aurelius Philantinous to his father Aurelius Ploution, regarding some commercial or industrial enterprise, probably having some connection with the fabrication or sale of papyrus rolls","[""Aurelius Philantinous, son of Aurelius Ploution"", ""Aurelius Ploution"", ""Psenteus, son of Aurelius Philantinous"", ""Lytus""]","[]","Tebtynis, Polemonos meris, Arsinoite nome, province of Egypt",,1,"Verso: Recto is published separately","Documentary",,"1023v.jpg","Aurelius Philantinous to his father Aurelius Ploution very many greetings. Before all I pray for your health and I make supplication for you before the gods of this place.I told you before through my son Psenteus about your and Lytus' interests, but (I have heard?) nothing at all about your deliveries; if you really want (me?) to arrange matters for you, you must send the available (deposited) things. For I have made sixteen deliveries for each of you, that makes thirtytwo, the cost of which, at the rate of twelve drachmae, amounts to 384 drachmae. And the loan for the new rolls I have had entered in the books, about which we have got your affirmation. I write to you in order that, if you neglect it, I shall not be blameworthy in your eyes. I greet all of our family. I pray for your health.",,TRUE,,"1 papyrus ; 24 x 12 cm.","grc","214","299","IIIrd century A.D., after 214","Private letter","Papyrus","[""Papyrus"", ""Production: Business: Letter"", ""Family""]",TRUE,,,,,,,"https://papyri.info/ddbdp/sb;10;725"
6,,"2021-02-09 23:53:25",,,,"1176v","Verso","Pap",,"Yes","Purchased from M. Nahman, Cairo, Febr. 18, 1929","Private letter","9 x 11.5 cm.","Probably Arsinoite nome, province of Egypt","Greek","Verso - 11 + 1 line in the left margin;Recto - 1","Written in a careful, upright, almost literary handwriting.","Tapais","The first half of a private letter from Tapais to her brother Sarapammon, requesting him to fetch back various items for her.","[""Tapais"", ""Sarapammon"", ""Ammonilla"", ""Thermouthion, also referred to as Thermouthis"", ""Thermouthis, also referred to as Thermouthion""]","[]","Tebtynis, Polemonos meris, Arsinoite nome, province of Egypt",,1,"Verso; Recto: address, the rest unpublished","Documentary",,"1176v.jpg","Tapais to her brother Sarapammon greeting. Please would you be so kind as to go with your sister to her daughter Ammonilla's house and ask for the two chests of mine which they have got, and receive from Thermouthion the bracelet which she got from me. For it is not Hero... who got it from me, but Thermouthis. See to it that ...Margin: But do send us something, whatever ... I pray for your health.Recto: To Sarapammon from Tapais.",,TRUE,,"1 papyrus ; 9 x 11.5 cm.","grc","100","199","IInd century A.D.","Private letter","Papyrus","[""Letter"", ""Chests"", ""Bracelet""]",TRUE,,,,,,,"https://papyri.info/ddbdp/sb;14;12024"
7,,"2021-02-09 23:53:25",,,,"1626","Recto","Pap",,"Yes","Acquired by Eitrem in Egypt, March 1936","Letter","8 x 9 cm.","Unknown place, province of Egypt","Greek","10","Written in the large and upright cursive that is typical of the late third and early fourth century.",,"Letter concerning sale of house property","[""Theon"", ""Aurelius""]","[""Oxyrhynchus""]","Oxyrhynchos, Oxyrhynchite nome, province of Egypt",,1,"Recto, the Verso is blank","Documentary","1626r.jpg",,"I make it manifest to you (that I have sold) first the house with site to Aurelius from Oxyrhynchus ... on the twentieth of the month Payni, at the price of 1600 drachmas with ... Theon paid as an agreement (or: reconciliation) ... on the same twentieth or on a day ... Later (he paid ... ) ......... instead of 560 drachmas from me ...",,TRUE,,"1 papyrus ; 8 x 9 cm.","grc","200","299","IIIrd century A.D.","Letter","Papyrus","[""Property sale"", ""Letter""]",TRUE,,,,,,,"https://papyri.info/ddbdp/sb;16;12547"
8,,"2021-02-09 23:53:25",,,,"1623","Recto; Verso address","Pap",,"Yes","Acquired by Eitrem in Egypt., March 1936","Private letter","31.8 x 8.8 cm.","Unknown place, province of Egypt","Greek","Recto: 26;Verso: 1","Written in an elegant Byzantine hand, with only a few orthographic faults. If the letter was not written by a scribe (which seems improbable) the writer must have been an educated man.","Martyrios","Letter from Martyrios to his daughter Susanna informing her that her mother has become unwell, and requesting the daughter  to come visit them.","[""Susanna, daughter of Martyrios"", ""Martyrios"", ""Antoninus""]","[]","Unknown place, province of Egypt",,1,"Recto; Verso address","Documentary","1623r.jpg","1623v.jpg","To the lady my daughter Susanna from Martyrios your father. Since you sent us your letter your mother has become unwell and she could not come to you, nor had I time to come again. I have in fact written you another letter that you should come. Hurry then, when you receive this letter, you must come at once, with your husband, since your mother is very ill and wants to see you. Many greetings to my dear Antoninus and his mother and to you all. I pray for your health, dear daughter.Verso:To the lady my daughter Susanna.Martyrios your father.",,TRUE,,"1 papyrus ; 31.8 x 8.8 cm.","grc","300","499","IVth/Vth century A.D.","Private letter","Papyrus","[""Letter"", ""Family"", ""Health""]",TRUE,,,,"The papyrus is rather course and thick, and seems to have been folded. The proper place for the string is marked on the verso in the middle of the word """"thyga-tri"""".",,,"https://papyri.info/ddbdp/sb;14;11437"
9,,"2021-02-09 23:53:25",,,,"1621","Recto","Pap",,"No","Acquired by Eitrem in Egypt, March 1936","Letter","13.5 x 8.3 cm.","Unknown place, province of Egypt","Greek","14",,,"Directions arranged as a letter, with instructions as to how to find a certain person, possibly in Alexandria.The address may have accompanied a parcel.","[""Claudianus"", ""Tullii"", ""Theon, son of Ammonas"", ""Ammonas, grammateus, father of Theon"", ""Phokion""]","[""Alexandria?""]","Unknown place, province of Egypt",,1,"Recto, the Verso is blank","Documentary","1621r.jpg",,"Directions: to the (dwelling) of Berenicianus opposite the Nanaion, where the bath of Claudianus (was), but the house of the Tullii is now. Ask there for Theon, son of Ammonas, former secretary of Phokion, but who is now (secretary of ?) the secretary of his estate.","Fowler DP, New directions, ZPE 59 (1985) 45-46; Llewelyn SR, The function of the semasia-texts. P.Oxy. XXXIV 2719 and SB XVI 12550, ZPE 104 (1994) 230-232",,,"1 papyrus ; 13.5 x 8.3 cm.","grc","200","399","IIIrd/IVth century A.D.","Letter","Papyrus","[""Directions"", ""Address"", ""Nanaion"", ""Baths of Claudianus""]",TRUE,,,,,,,"https://papyri.info/ddbdp/sb;14;11437"
10,,"2021-02-09 23:53:25",,,,"1475","Recto; Verso address","Pap",,"Yes","Purchased in 1934 from Maurice Nahman, Cairo","Private letter","21 x 10.9 cm.","Unknown place, province of Egypt","Greek","Recto - 19;Verso - 1","Written in a skilled, but large, flourishing and bold hand with an altogether personal and  individual character.","Charitous","Letter from Charitous to her brother Pompeius, informing him that she has attended to a matter he has previously asked her to take care of.","[""Charitous"", ""Pompeius, brother of Charitous"", ""Zoilas, son of Argaios"", ""Argaios"", ""Herennia"", ""Pompeis"", ""Syrion"", ""Thaïsous""]","[]","Unknown place, province of Egypt",,1,"Recto; the address on the Verso, otherwise it is blank","Documentary","1475r.jpg","1475v.jpg","Charitous to Pompeius, her brother, greeting. I wish you to know that I have attended to the matter concerning which you wrote me. I went to Zoilas, son of Argaios, and he went to the office of the royal scribe and made investigation and did not find your name written in the roll. Well then, come rather quickly up to your home. Salute the children of Herennia, and Pompeis and Syrion and Thaïsous and her children and her husband and all my friends. Be of good health.Verso:Deliver from Charitous to Pompeius, her brother.","White, John L., Light from ancient letters, Philadelphia, c1986 (no. 91, p. 142-143) Bagnall & Cribiore, Women's letters from ancient Egypt 300 BC-AD 800, 2006, p.120-130",TRUE,,"1 papyrus ; 21 x 10.9 cm.","grc","1","99","Ist century A.D.","Private letter","Papyrus","[""Letter"", ""Family"", ""Scribe""]",TRUE,,,,,,,"https://papyri.info/ddbdp/sb;6;9120"
