lov_id	sprak	created_at	updated_at	tittel	kort_tittel	oversetter	bibsys	url	note	inote	utgave
1	ENG	28-APR-98	13-APR-18	Act of February 1741 prohibiting the flying on merchant ships of the Royal Pennant of the Royal Jack with swallow-tail and tongue				https://urn.nb.no/URN:NBN:no-nb_digibok_2007062500060		Norwegian laws s. 27	
2	SPA	09-MAY-08	16-SEP-14	Constitución del Reino de Noruega				lov-18140517-000-spa.pdf			Con las subsiguientes enmiendas, siendo la más reciente la de 23 de julio de 1995
2	GER	28-APR-98	02-MAR-10	Die Verfassung des Königreichs Norwegen				http://www.verfassungen.eu/n/index.htm			
2	FRE	28-APR-98	02-MAR-10	La Constitution norvégienne du 17 mai 1814				http://mjp.univ-perp.fr/constit/no1814.htm			
2	ENG	05-NOV-02	08-SEP-20	The Constitution of the Kingdom of Norway	The Constitution			https://lovdata.no/dokument/NLE/lov/1814-05-17			
3	ENG	18-MAY-12	18-MAY-12	Act concerning the  succession in the current County of Jarsberg, etc,		Dag T. Hoelseth		http://www.hoelseth.com/acts/act18420808.html	Annulled by Act-1990-06-15-18		
4	FRE	28-APR-98	29-JAN-04	Loi pour la protection des câbles télégraphiques sous-marins en dehors des eaux teritoriales				lov-18840614-003-fre.pdf			
5	ENG	28-APR-98	13-MAY-04	The maritime act					Annulled by Act 1994-06-24-39	Regler for flyttbare innretninger	
6	ENG	28-APR-98	09-SEP-20	Act relating to the declaring of a person as incapable of managing his own affairs				https://urn.nb.no/URN:NBN:no-nb_digibok_2007062500060		Norwegian laws s. 841-844	
7	ENG	28-APR-98	29-JAN-04	Act relating to the Flag of the Realm of Norway				lov-18981210-001-eng.pdf			
8	ENG	28-APR-98	30-MAY-06	The General civil penal code		Norwegian Ministry of Justice		lov-19020522-010-eng.pdf			With subsequent amendments, the latest made by Act of 21 December 2005 no. 131
9	ENG	28-APR-98	19-SEP-14	Act relating to public control of the seaworthiness of ships	The Seaworthiness Act					Regler for flyttbare innretninger	
10	ENG	28-APR-98	16-SEP-14	The law relating to the Office for the Protection of Industrial Property				lov-19100702-007-eng.pdf			Translated prior to September 1971
11	ENG	28-APR-98	09-SEP-20	The Taxation Act				https://urn.nb.no/URN:NBN:no-nb_digibok_2007062500060	Annulled by act 1999-03-26-14	Norwegian laws s. 567-581	
