"id","name","entity_type","noraf_id"
1,"Johnsen, Egil Borre","person",
2,"Knain, Erik","person",
3,"Eriksen, Trond Berg","person",
5,"Berge, Kjell Lars","person",
6,"Ridderstrom, Helge","person",
7,"Selander, Staffan","person",
8,"Skjelbred, Dagrun","person",
9,"Sletvold, Sverre","person",
10,"Aasen, Elisabeth","person",
11,"Michelsen, Per Arne","person",
12,"Fet, Jostein","person",
13,"Frisvold, Oivind","person",
14,"Christoffersen, Svein Aage","person",
15,"Furre, Berge","person",
16,"Sejersted, Francis","person",
17,"Bruland, Kristine","person",
18,"Gilje, Nils","person",
19,"Lovland, Anne","person",
20,"Maagero, Eva","person",
21,"Tonnessen, Elise Seip","person",
22,"Andersen, Per Thomas","person",
23,"Eklund, Heidi Bunaes","person",
24,"Grepstad, Ottar","person",
25,"Haug, Hilde Cath Fjellhoy","person",
26,"Juuhl, Gudrun Klove","person",
27,"Longum, Leif","person",
28,"Tonnesson, Johan L.","person",
29,"Kock, Christian","person",
30,"Kaspersen, Vibeke","person",
31,"Michelsen, Maja","person",
32,"Jakobsen, Kjetil","person",
33,"Carlsen, Sigmund","person",
34,"Albaek, Lene C.","person",
35,"Hodne, Ornulf","person",
36,"Amundsen, Arne Bugge","person",
37,"Eriksen, Anne","person",
38,"Bruun, Kim Bye","person",
39,"Wilhelmsen, Unni","person",
40,"Kristiansen, Otto","person",
41,"Skjevesland, Olav","person",
42,"Emblem, Terje","person",
43,"Hetland, Olaf","person",
44,"Libaek, Ivar","person",
45,"Stenersen, Oivind","person",
46,"Syvertsen, Tore","person",
47,"Sveen, Asle","person",
48,"Aastad, Svein","person",
49,"Andersen, Hege Langballe","person",
50,"Andreassen, Trond","person",
51,"Hagvar, Yngve Benestad","person",
52,"Gundersen, Trygve Riiser","person",
53,"Gjerstad, Magne","person",
54,"Lynghammar, Vidar","person",
55,"Breivega, Kjersti Rongen","person",
56,"Andersen, Gisle Erik","person",
57,"Birkeland, Bjarte","person",
58,"Nicolaysen, Bjorn Kvalsvik","person",
59,"Bjorge, Johan","person",
60,"Sorlie, Einar","person",
61,"Torvik, Ingvald","person",
62,"Bjorndal, Bjarne","person",
63,"Bonafede, Cecilie Wiborg","person",
64,"Dahl, Hans Fredrik","person",
65,"Schwebs, Ture","person",
66,"Otnes, Hildegunn","person",
67,"Eek, Oystein","person",
68,"Enerstvedt, Ase","person",
69,"Bergvad, Anne Fatland","person",
70,"Wennberg, Hilde","person",
71,"Vatne, May","person",
72,"Henning, Camilla","person",
73,"Okland, Trude Kristine","person",
74,"Lund, Anne Katrine","person",
75,"Hermundsgard, Margit","person",
76,"Tomte, Cathrine","person",
77,"Vatn, Gunhild Am","person",
78,"As, Ragnhild","person",
79,"Bakken, Jonas","person",
80,"Myklebust, Sissel","person",
81,"Iversen, Gunnar","person",
82,"Oierud, Gunnfrid Ljones","person",
83,"Frones, Tove","person",
84,"Halkjelsvik, Beate","person",
85,"Lozitskaia, Olga","person",
86,"Skarpeid, Ragnhild","person",
87,"Ringdal, Elisabeth","person",
88,"Moen, Susanne","person",
89,"Veum, Aslaug","person",
90,"Gedde-Dahl, Trine","person",
91,"Matre, Synnove","person",
92,"Hoel, Torlaug Lokensgard","person",
93,"Ongstad, Sigmund","person",
94,"Igland, Mari-Ann","person",
95,"Glosvik, Oyvind","person",
96,"Aavitsland, Kristin Bliksrud","person",
97,"Burgess, Marthe Oidvin","person",
907,"Wedberg, Kristian","person",
906,"Strand, Hans","person",
900,"Skjelderup, Ida Sandaker","person",
103,"Johannesen, Georg","person",
104,"Melve, Leidulf","person",
105,"Ruppel, Inez","person",
106,"Jordheim, Helge","person",
107,"Vagle, Wenche","person",
108,"Hoyer, Svennik","person",
109,"Oyslebo, Olaf","person",
110,"Nilsen, Kare V.","person",
111,"Apelseth, Arne","person",
112,"Brekke, Marit Lovise","person",
113,"Bruhns, Svend","person",
114,"Broyn, Tore","person",
115,"Dahl, Willy","person",
116,"Dalen, Arnold","person",
117,"Danielsen, Oyvin","person",
118,"Fjeldstad, Anton","person",
119,"Gilje, Karianne Bjellas","person",
120,"Guleng, Mai Britt","person",
121,"Gundersen, Dag","person",
122,"Hagland, Jan Ragnar","person",
123,"Hareide, Jorunn","person",
124,"Haugland, Karen Mathilde","person",
125,"Hestmark, Geir","person",
126,"Hvenekilde, Soren","person",
127,"Haarberg, Jon","person",
128,"Jakobsen, Rolv Notvik","person",
129,"Johansen, Kristin","person",
130,"Johnsen, Berit Eide","person",
131,"Kongslien, Ingeborg","person",
132,"Larsen, Oivind","person",
133,"Lervik, Ase Hjorth","person",
134,"Lie, Thore","person",
135,"Madssen, Kjell-Arild","person",
136,"Meldahl, Per","person",
137,"Michalsen, Dag","person",
138,"Mjelde, Liv","person",
139,"Monsson, Odd","person",
140,"Nerbovik, Jostein","person",
141,"Notaker, Henry","person",
142,"Nylenna, Magne","person",
143,"Naess, Atle","person",
144,"Oftestad, Bernt T.","person",
