"publication_id","creator_id","posisjon","role"
1,1,1,["forfatter"]
2,2,1,["forfatter"]
902,3,2,["redaktør"]
3,3,2,["redaktør"]
3,1,1,["redaktør"]
4,1,1,["redaktør"]
52,28,1,["redaktør"]
6,6,1,["forfatter"]
21,23,1,["forfatter"]
20,5,1,["redaktør"]
31,29,1,["forfatter"]
9,10,1,["forfatter"]
10,11,1,["redaktør"]
30,12,1,["forfatter"]
12,13,1,["forfatter"]
13,18,5,["redaktør"]
13,17,4,["redaktør"]
13,16,3,["redaktør"]
13,15,2,["redaktør"]
13,14,1,["redaktør"]
14,5,1,["redaktør"]
19,28,4,["redaktør"]
1098,660,1,["forfatter"]
24,25,1,["forfatter"]
18,1,1,["redaktør"]
25,26,1,["forfatter"]
26,1,1,["redaktør"]
27,27,1,["forfatter"]
28,1,1,["redaktør"]
29,28,1,["forfatter"]
60,56,1,["forfatter"]
150,8,1,["forfatter"]
340,3,2,["redaktør"]
144,5,1,["redaktør"]
67,62,1,["forfatter"]
149,108,1,["forfatter"]
147,106,1,["forfatter"]
146,105,1,["forfatter"]
145,104,1,["forfatter"]
140,12,1,["forfatter"]
148,107,1,["forfatter"]
138,103,1,["forfatter"]
139,1,1,["forfatter"]
141,13,1,["redaktør"]
365,184,1,["forfatter"]
337,168,1,["forfatter"]
354,180,1,["forfatter"]
154,110,1,["forfatter"]
153,110,1,["forfatter"]
152,109,1,["redaktør"]
151,22,1,["forfatter"]
47,24,1,["forfatter"]
48,49,1,["forfatter"]
50,50,1,["forfatter"]
51,51,1,["forfatter"]
53,52,1,["forfatter"]
61,58,2,["forfatter"]
58,54,1,["forfatter"]
59,55,1,["forfatter"]
57,53,1,["forfatter"]
61,57,1,["forfatter"]
62,60,2,["forfatter"]
62,59,1,["forfatter"]
63,59,1,["forfatter"]
63,60,2,["forfatter"]
63,61,3,["forfatter"]
64,61,3,["forfatter"]
64,60,2,["forfatter"]
64,59,1,["forfatter"]
65,62,1,["forfatter"]
66,33,1,["forfatter"]
68,63,1,["forfatter"]
69,64,1,["forfatter"]
70,65,1,["forfatter"]
70,66,2,["forfatter"]
71,67,1,["forfatter"]
72,3,1,["forfatter"]
73,1,2,["redaktør"]
73,68,1,["redaktør"]
74,24,1,["redaktør"]
75,24,1,["forfatter"]
76,69,1,["forfatter"]
77,70,1,["forfatter"]
78,71,1,["forfatter"]
79,72,1,["forfatter"]
80,73,1,["forfatter"]
81,74,1,["forfatter"]
82,75,1,["forfatter"]
83,76,1,["forfatter"]
84,77,1,["forfatter"]
85,78,1,["forfatter"]
86,79,1,["forfatter"]
87,80,1,["forfatter"]
88,81,1,["forfatter"]
89,82,1,["forfatter"]
90,31,1,["forfatter"]
91,83,1,["forfatter"]
92,84,1,["forfatter"]
93,85,1,["forfatter"]
94,86,1,["forfatter"]
95,28,1,["forfatter"]
96,28,2,["forfatter"]
96,79,1,["forfatter"]
97,79,1,["forfatter"]
98,79,1,["forfatter"]
99,79,1,["forfatter"]
100,79,1,["forfatter"]
101,79,1,["forfatter"]
102,79,1,["forfatter"]
103,79,1,["forfatter"]
104,79,1,["forfatter"]
105,79,1,["forfatter"]
106,79,1,["forfatter"]
107,28,1,["forfatter"]
143,87,1,["forfatter"]
109,28,1,["forfatter"]
110,88,1,["forfatter"]
111,28,1,["forfatter"]
112,89,1,["forfatter"]
113,87,1,["forfatter"]
114,90,1,["forfatter"]
115,28,1,["forfatter"]
116,28,1,["redaktør"]
118,92,2,["redaktør"]
118,91,1,["redaktør"]
119,91,1,["redaktør"]
119,92,2,["redaktør"]
120,92,2,["redaktør"]
121,94,1,["forfatter"]
122,95,1,["forfatter"]
123,92,1,["forfatter"]
124,96,1,["forfatter"]
125,3,1,["forfatter"]
126,97,1,["forfatter"]
411,214,1,["forfatter"]
407,5,2,["forfatter"]
405,211,1,["forfatter"]
378,27,1,["forfatter"]
397,5,2,["redaktør"]
394,24,1,["forfatter"]
373,3,1,["forfatter"]
334,27,1,["forfatter"]
381,194,1,["forfatter"]
359,3,2,["redaktør"]
361,3,2,["redaktør"]
386,150,1,["forfatter"]
347,175,1,["forfatter"]
408,90,1,["redaktør"]
360,3,2,["redaktør"]
403,209,1,["forfatter"]
350,177,1,["forfatter"]
406,212,1,["forfatter"]
366,188,1,["forfatter"]
336,167,1,["forfatter"]
353,179,1,["forfatter"]
392,202,1,["forfatter"]
380,150,1,["forfatter"]
375,27,1,["forfatter"]
333,165,1,["forfatter"]
371,190,1,["forfatter"]
387,198,1,["forfatter"]
372,3,2,["redaktør"]
341,172,1,["forfatter"]
391,201,1,["forfatter"]
351,135,1,["forfatter"]
410,104,1,["forfatter"]
364,180,1,["forfatter"]
348,163,1,["forfatter"]
357,183,1,["forfatter"]
402,28,1,["forfatter"]
335,166,1,["forfatter"]
344,165,1,["forfatter"]
415,213,1,["forfatter"]
404,210,1,["forfatter"]
379,193,1,["forfatter"]
408,213,3,["redaktør"]
352,178,1,["forfatter"]
397,491,1,["redaktør"]
370,3,2,["redaktør"]
396,205,1,["forfatter"]
358,184,1,["forfatter"]
363,181,1,["forfatter"]
407,491,1,["forfatter"]
398,491,1,["forfatter"]
356,182,1,["forfatter"]
342,3,2,["redaktør"]
369,189,1,["forfatter"]
413,216,1,["forfatter"]
409,5,1,["forfatter"]
398,5,2,["forfatter"]
383,195,1,["forfatter"]
389,200,1,["forfatter"]
388,199,1,["forfatter"]
346,174,1,["forfatter"]
401,208,1,["forfatter"]
220,152,1,["forfatter"]
343,27,1,["forfatter"]
362,188,1,["forfatter"]
390,126,1,["forfatter"]
395,204,1,["forfatter"]
385,197,1,["forfatter"]
355,181,1,["forfatter"]
345,173,1,["forfatter"]
376,179,1,["forfatter"]
1129,684,2,["redaktør"]
384,3,2,["redaktør"]
393,203,1,["forfatter"]
374,50,1,["forfatter"]
400,207,1,["forfatter"]
382,24,1,["forfatter"]
408,5,2,["redaktør"]
377,192,1,["forfatter"]
338,169,1,["forfatter"]
412,215,1,["forfatter"]
414,217,1,["forfatter"]
339,170,1,["forfatter"]
349,176,1,["forfatter"]
367,189,1,["forfatter"]
368,3,2,["redaktør"]
244,22,1,["forfatter"]
245,22,1,["forfatter"]
246,111,1,["forfatter"]
247,111,1,["forfatter"]
248,3,2,["redaktør"]
249,112,1,["forfatter"]
250,3,2,["redaktør"]
251,114,1,["forfatter"]
252,114,1,["forfatter"]
253,115,1,["forfatter"]
254,116,1,["forfatter"]
255,117,1,["forfatter"]
256,67,1,["forfatter"]
257,3,1,["forfatter"]
258,12,1,["forfatter"]
259,118,1,["forfatter"]
260,118,1,["forfatter"]
261,119,1,["forfatter"]
262,120,1,["forfatter"]
263,121,1,["forfatter"]
264,122,1,["forfatter"]
265,123,1,["forfatter"]
266,123,1,["forfatter"]
267,124,1,["forfatter"]
268,125,1,["forfatter"]
269,125,1,["forfatter"]
1101,147,1,["forfatter"]
271,3,2,["redaktør"]
272,127,1,["forfatter"]
