"id","user_id","year","title","bibsys_objektid","report_type","pub_type","series","volume","publisher","publication_place","issn","isbn","journal","booktitle","number","chapter","edition","school","note","abstract","url","doi","crossref","pages","public","keywords","public_note","private_note"
1,13,"1995","Den andre litteraturen: hva sakprosa er","950417017","","Book","","","Cappelen akademisk forlag","Oslo","","82-456-0014-8","","","","","","","Bygger delvis på innsikt fra forskningsprosjektet Norsk sakprosa","","http://www.nb.no/utlevering/nb/f614ea3db5e17340008e5cb4ac19f02e","","","172",1,"[""litteratur"",""sakprosadefinisjoner"",""Sakprosa""]",NULL,NULL
2,13,"2001","Naturfagets tause stemme. Diskursanalyse av lærebøker i natur- og miljøfag.","012203300","","Book","","","INL/ILN, Universitetet i Oslo: Prosjektmiljøet Norsk sak­prosa","Oslo","82-90954-17-4","","","","","","","","Bearbeidet utg. av forfatterens avhandling (dr. scient.) - Universitetet i Oslo, 1999, Bibliografi: s. 355-347. Nr. 4 i Skriftserien Sakprosa.","","http://www.hf.uio.no/iln/forskning/grupper/tekstretorikk/skriftserien/utgivelser/4Knain-Naturfagets-tause-stemme.pdf","","","347, XLIV",1,"[""diskursanalyse"",""læremidler"",""naturfag/naturvitenskap""]",NULL,NULL
3,13,"1998","Norsk litteraturhistorie: sakprosa fra 1750 til 1995","98085783x","","Book","","","Universitetsforl.","Oslo","","","","","","","","","","","","","","2 bind",1,"[""historie"",""litteratur"",""litteraturhistorie"",""Sakprosa""]",NULL,"Ommund 2011-08-15: Denne overordna posten sletter vi. Vi får greie oss med to nivåer; bok og kapittel i bok. Har lagd gjensidige lenker på de to binda som erstatning for felles overordna ""flerbindsverk""-post.\n<strong>Obs:</strong> mangler å overføre kategorier fra toppnivået ned på de to binda. Kan Sine ta det?"
4,13,"1995","Virkelighetens forvaltere","952075024","","Book","","","Universitetsforl.","Oslo","","82-00-22687-5","","","","","","","Årbok nr.1, forskningsprosjektet Norsk sakprosa (I)","","http://www.nb.no/utlevering/nb/47d4f357399933ddd5309ea398e15b53","","","262 ",1,"[""biografier"",""forfatterskap"",""læremidler"",""oppslagsverk"",""vitenskapsretorikk""]",NULL,NULL
52,13,"2002","Den Flerstemmige sakprosaen: nye tekstanalyser","022094857","","Book","","nr 149","Fagbokforl.","Bergen","","82-7674-888-0","","","","","","","Nr. 149 i Landslaget for norskundervisnings skriftserie. Samtlige forfattere har skrevet hovedoppgaver med sakprosaanalyse ved Institutt for nordistikk og litteraturvitenskap, UiO. Professor Kjell Lars Berge har skrevet bokas etterord.","","","","","250",1,"[""flerstemmighet"",""forskningsformidling"",""journalistikk"",""radio"",""sakprosadefinisjoner"",""tekstanalyse"",""Sakprosa""]",NULL,NULL
53,13,"2001","Om å ta ordet. Retorikk og utsigelse i den unge Hans Nielsen Hauges forfatterskap","011822104","","Book","","","INL/ILN, Universitetet i Oslo: Prosjektmiljøet Norsk sak­prosa","Oslo","82-90954-16-6","","","","","","","","Nr. 3 i skriftserien Sakprosa. Bearbeidet utg. av forfatterens hovedoppgave i allmenn litteraturvitenskap - Universitetet i Bergen, 1998","","http://www.hf.uio.no/iln/forskning/grupper/tekstretorikk/skriftserien/utgivelser/3Gundersen-Om-a-ta-ordet.pdf","","","178",1,"[""forfatterskap"",""retorikk""]",NULL,NULL
6,13,"2003","På vei til multimediale skrivepraksiser: ungdommers tekster på Verdensveven i didaktisk perspektiv","031440894","Doktoravhandling","Phdthesis","","","","Trondheim","82-471-5221-5","","","","","","","Institutt for språk- og kommunikasjonsstudier, Det historisk-filosofiske fakultet, NTNU","Avhandling (dr. art.) - Norges teknisk-naturvitenskapelige universitet, Trondheim, 2003","","","","","525",1,"[""barn og ungdom"",""digitale tekster""]",NULL,NULL
21,13,"2004","Nytt på nettet: en bruks- og brukerorientert analyse av Aftenposten Nettutgaven sett i lys av Internetts teknologiske ressurser","050435825","Hovedoppgave","Mastersthesis","","","","Oslo","","","","","","","","Universitetet i Oslo","Hovedoppgave i norsk språk - Universitetet i Oslo, 2004","","","","","147 , 17 bl.",1,"[""aviser"",""digitale tekster"",""informasjonsteknologi"",""teknologi""]",NULL,NULL
31,13,"1987","100 råd til skriftlig fremstilling","88926","","Article","","11","","","0332-7264","","Norsklæraren","","2","","","","","","","","","9-12",1,"[""retorikk"",""skrivehåndbøker""]",NULL,NULL
9,8,"1986","Kvinners spor i skrift: supplement til norsk litteraturhistorie","863088945","","Book","","","Samlaget","Oslo","","82-521-2843-2","","","","","","","","","","","","231 ",1,"[""historie"",""kjønn"",""litteratur"",""litteraturhistorie"",""sakprosahistorie""]",NULL,NULL
10,13,"1993","Sjangeroppbrudd: om stilskriving og skriveopplæring i den videregående skolen","932454860","","Book","","nr 75","Cappelen","Oslo","","82-02-14037-4","","","","","","","","","http://urn.nb.no/URN:NBN:no-nb_digibok_2007112704090","","","212 ",1,"[""lese- og skriveforskning"",""sjanger"",""skriveopplæring"",""skriving""]",NULL,NULL
30,13,"2003","Skrivande bønder: skriftkultur på Nord-Vestlandet 1600-1850","031846114","","Book","","","Samlaget","Oslo","","978-82-521-6296-7","","","","","","","","","","","","435",1,"[""lesing"",""skriftkultur"",""skriving""]",NULL,NULL
12,13,"1987","Norske utredninger 1814-1986: bibliografier og kataloger over offentlige utredninger : ajour pr 1/4-87","883051362","","Book","","","Universitetsforlaget","Oslo","","82-00-06821-8","","","","","","","2. utg.","","","","","22",1,"[""bibliografi"",""kataloger"",""utredninger""]",NULL,NULL
13,13,"1996","Hans Nielsen Hauge og det moderne Norge","960554718","","Book","","","Norges forskningsråd","Oslo","","82-12-00650-6","","","","","","","Publikasjon i Forskningsrådets KULT-serie, årg. 48. Inngår i forskningsprosjektet ""Den kristne moraltradisjon i Norge fra 1814 til i dag"", som er del av KULT (Norges forskningsråds program for Kultur- og tradisjonsformidlende forskning).","Innhold: Hans Nielsen Hauge og det nye Noreg / Berge Furre. Hans Nielsen Hauge - en radikal ildprofet fra Tune / Nils Gilje. Ny industri - nye livsformer / Kristine Bruland. Når markedet bestemmer moralen / Francis Sejersted","","","","49",1,"[""etikk/moral"",""forfatterskap"",""historie"",""muntlige tekster""]",NULL,NULL
