"DATO","NUMMER","TYPE","SPRAK","REGDATO","MODDATO","TITTEL","KORT","OVERSETTER","KODER","BIBSYS","URL","NOTE","INOTE","UTGAVE"
"1986-12-17 00:00:00.0","2318","FORSKRIFT","NULL","2004-11-25 09:48:44.0","2004-11-25 09:48:44.0","Forskrift om konstruksjon og utrustning av boligkvarteret på flyttbare innretninger","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"1986-12-17 00:00:00.0","2318","FORSKRIFT","ENG","2004-11-25 09:50:02.0","2004-11-25 09:50:02.0","Regulations concerning the construction and equipment of living quarters on mobile offshore units","NULL","NULL","NULL","NULL","for-19861217-2318-eng.pdf","NULL","NULL","NULL"
"1986-12-17 00:00:00.0","2317","FORSKRIFT","NULL","2004-11-25 09:51:50.0","2004-11-25 09:51:50.0","Forskrift om sveiseutstyr m.v. for sveisegassene acetylen og oxygen på flyttbare innretninger","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"1986-12-17 00:00:00.0","2317","FORSKRIFT","ENG","2004-11-25 09:53:15.0","2004-11-25 09:53:15.0","Regulations concerning welding equipment, etc. for the welding gases acetylene and oxygen on mobile offshore units","NULL","NULL","NULL","NULL","for-19861217-2317-eng.pdf","NULL","NULL","NULL"
"1987-09-04 00:00:00.0","855","FORSKRIFT","NULL","2004-11-25 10:01:42.0","2004-11-25 10:01:42.0","Forskrift om anmeldelse av nybygg, besiktelse og sertifisering m.v. av flyttbare innretninger","Forskrift om sertifisering av flyttbare innretninger","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"1920-02-09 00:00:00.0","0","LOV","NULL","1998-04-28 13:33:24.0","1998-04-28 13:33:24.0","Traktat mellem Norge, Amerikas Forente Stater, Danmark, Frankrike, Italia, Japan, Nederlandene, Storbritannia og Irland og de britiske oversjøiske besiddelser og Sverige angående Spitsbergen","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"1920-02-09 00:00:00.0","0","LOV","ENG","1998-04-28 13:33:25.0","1998-04-28 13:33:25.0","Treaty of 9 February 1920 relating to Spitzbergen","NULL","NULL","NULL","NULL","NULL","NULL","Norwegian laws s. 329","NULL"
"1987-09-04 00:00:00.0","855","FORSKRIFT","ENG","2004-11-25 10:03:29.0","2004-11-25 10:03:29.0","Regulations concerning notification of newbuilding, survey, and certification etc. of mobile offshore units","NULL","NULL","NULL","NULL","for-19870904-0855-eng.pdf","NULL","NULL","NULL"
"1987-09-04 00:00:00.0","857","FORSKRIFT","NULL","2004-11-25 10:04:44.0","2004-11-25 10:04:44.0","Forskrift om ankring-/posisjoneringssystemer på flyttbare innretninger","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"1987-09-04 00:00:00.0","857","FORSKRIFT","ENG","2004-11-25 10:05:52.0","2004-11-25 10:05:52.0","Regulations concerning anchoring/positioning systems on mobile offshore units","NULL","NULL","NULL","NULL","for-19870904-0857-eng.pdf","NULL","NULL","NULL"
"1987-09-04 00:00:00.0","859","FORSKRIFT","ENG","2004-11-25 10:25:01.0","2004-11-25 10:25:01.0","Regulations concerning protective, environmental, and safety measures on mobile offshore units","NULL","NULL","NULL","NULL","for-19870904-0859-eng.pdf","NULL","NULL","NULL"
"1925-08-07 00:00:00.0","0","LOV","ENG","1998-04-28 13:33:25.0","1998-04-28 13:33:25.0","The mining code (the mining regulations) for Spitzbergen, laid down by royal decree of 7 August 1925","NULL","NULL","NULL","NULL","NULL","NULL","Norwegian laws s. 34-41","NULL"
"2003-12-05 00:00:00.0","100","LOV","NULL","2004-12-02 13:43:26.0","2004-12-02 13:43:26.0","Lov om humanmedisinsk bruk av  bioteknologi m.m.","Bioteknologiloven","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"2003-06-27 00:00:00.0","64","LOV","NULL","2004-12-02 13:50:43.0","2004-12-02 13:50:43.0","Lov om alternativ behandling av sykdom mv.","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"1987-05-15 00:00:00.0","21","LOV","NULL","2004-12-02 13:56:19.0","2004-12-02 13:56:19.0","Lov om film og videogram","Film- og videogramlova","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"1987-06-12 00:00:00.0","56","LOV","NULL","1998-04-28 00:00:00.0","2004-12-02 14:01:34.0","Lov om Sametinget og andre samiske rettsforhold","Sameloven","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"2004-12-17 00:00:00.0","99","LOV","NULL","2005-01-20 11:20:30.0","2005-01-20 11:20:30.0","Lov om kvoteplikt og handel med kvoter for utslipp av klimagasser","Klimakvoteloven","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"1930-02-21 00:00:00.0","0","LOV","ENG","1998-04-28 13:33:26.0","1998-04-28 13:33:26.0","Act of 21 February 1930 relating to settlement of estates","The probate act","NULL","NULL","NULL","NULL","NULL","Norwegian laws s. 837-840","NULL"
"1930-02-27 00:00:00.0","2","LOV","NULL","1998-04-28 13:33:26.0","1998-04-28 13:33:26.0","Lov om Jan Mayen","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"1930-02-27 00:00:00.0","2","LOV","ENG","1998-04-28 13:33:26.0","1998-04-28 13:33:26.0","Act of 27 February 1930 relating to Jan Mayen","NULL","NULL","NULL","NULL","NULL","NULL","Norwegian laws s. 41-42","NULL"
"1930-02-27 00:00:00.0","3","LOV","NULL","1998-04-28 13:33:26.0","1998-04-28 13:33:26.0","Lov om Bouvet-øya, Peter I's øy og Dronning Maud Land m.m.","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"1930-02-27 00:00:00.0","3","LOV","ENG","1998-04-28 13:33:26.0","1998-04-28 13:33:26.0","Act of 27 February 1930 relating to the Bouvet Island, Peter I's Island and Queen Maud Land","NULL","NULL","NULL","NULL","NULL","NULL","Norwegian laws s. 42","NULL"
"1991-03-15 00:00:00.0","3","LOV","NULL","1999-08-12 00:00:00.0","2005-01-28 14:47:45.0","Lov om megling i konfliktråd","Konfliktrådloven","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"2004-05-28 00:00:00.0","29","LOV","NULL","2005-01-28 00:00:00.0","2005-02-08 09:28:12.0","Lov om register over opplysninger om valutaveksling og overføring av betalingsmidler inn og ut av Norge","Valutaregisterloven","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"1932-06-17 00:00:00.0","2","LOV","NULL","1998-04-28 13:33:27.0","1998-04-28 13:33:27.0","Lov om enkelte bestemmelser om fremmede konsulers rettsstilling","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"1932-06-17 00:00:00.0","2","LOV","ENG","1998-04-28 13:33:27.0","1998-04-28 13:33:27.0","Act of 17 June 1932 relating to the legal status of foreign consuls","NULL","NULL","NULL","NULL","NULL","NULL","Norwegian laws s. 145","NULL"
"1934-06-22 00:00:00.0","5","LOV","NULL","1998-04-28 13:33:27.0","1998-04-28 13:33:27.0","Lov om midlertidige innførselsforbud m.v.","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
