"id","created_at","updated_at","deleted_at","etternavn","fornavn","kjonn","fodt","dod","bibsys_id","wikidata_id"
1,"2019-08-16 10:59:16","2019-08-16 10:59:16",,"Caspari","Theodor","m",,,,
2,"2019-08-16 10:59:16","2019-08-16 10:59:16",,"Ploug","Carsten","m",,,,
3,"2019-08-16 10:59:16","2019-08-16 10:59:16",,"Hultin","Arvid","m",,,,
4,"2019-08-16 10:59:16","2019-08-16 10:59:16",,"Randers","Kristofer","m",,,,
5,"2019-08-16 10:59:16","2019-08-16 10:59:16",,"Lassen","Hartvig","m",,,,
6,"2019-08-16 10:59:16","2019-09-01 20:42:43",,"Færden","Michael Joh.","m",1836,1912,"98066588",
7,"2019-08-16 10:59:16","2019-08-16 11:03:54",,"Ibsen","Henrik","m",,,,
8,"2019-08-16 10:59:16","2019-08-16 10:59:16",,"Colban","Adolphine Marie","f",,,,
9,"2019-08-16 10:59:16","2019-08-16 11:03:49",,"anonym",,"u",,,,
10,"2019-08-16 10:59:16","2019-08-16 10:59:16",,"Schjøtt","Mathilde","f",,,,
11,"2019-08-16 10:59:16","2019-08-16 10:59:16",,"Collett","Camilla","f",,,,
12,"2019-08-16 10:59:16","2019-08-16 10:59:16",,"Winter-Hjelm","Henrik","m",,,,
13,"2019-08-16 10:59:16","2019-08-16 10:59:16",,"Botten-Hansen","Paul","m",,,,
14,"2019-08-16 10:59:16","2019-08-16 10:59:16",,"Nicolaysen","R.N.","m",,,,
15,"2019-08-16 10:59:16","2019-08-16 10:59:16",,"Petersen","Clemens","m",,,,
16,"2019-08-16 10:59:16","2019-08-16 10:59:16",,"Fibiger","Elfride","f",,,,
17,"2019-08-16 10:59:16","2019-08-16 10:59:16",,"Frederiksen","K.","f",,,,
18,"2019-08-16 10:59:16","2019-08-16 10:59:16",,"Futtrup","Johanne","u",,,,
19,"2019-08-16 10:59:16","2019-08-16 10:59:16",,"Gyllembourg","Thomasine","f",,,,
20,"2019-08-16 10:59:16","2019-08-16 10:59:16",,"Dietrichson","Lorentz","m",,,,
21,"2019-08-16 10:59:16","2019-08-16 10:59:16",,"Elster","Kristian d.e.","m",,,,
22,"2019-08-16 10:59:16","2019-08-16 10:59:16",,"Jæger","Henrik","m",,,,
23,"2019-08-16 10:59:16","2019-08-16 10:59:16",,"Schwach","Conrad Nicolai","m",,,,
24,"2019-08-16 10:59:16","2019-08-16 10:59:16",,"Collett","Peter Jonas","m",,,,
25,"2019-08-16 10:59:16","2019-08-16 11:03:54",,"Wergeland","Henrik","m",,,,
26,"2019-08-16 10:59:16","2019-08-16 10:59:16",,"Collett","Robert","m",,,,
27,"2019-08-16 10:59:16","2019-08-16 10:59:16",,"Daa","Ludvig Kristensen","m",,,,
28,"2019-08-16 10:59:16","2019-08-16 10:59:16",,"Daae","Ludvig","m",,,,
29,"2019-08-16 10:59:16","2019-08-16 10:59:16",,"Collier","Jeremias","m",,,,
