"id","record_id","person_id","person_role","kommentar","pseudonym","posisjon"
1,1,1,"[""forfatter""]",,,1
2,1,2,"[""kritiker""]",,"C.P.",1
3,2,1,"[""forfatter""]",,,1
4,2,3,"[""kritiker""]",,,1
5,3,1,"[""forfatter""]",,,1
6,3,4,"[""kritiker""]",,,1
7,4,1,"[""forfatter""]",,,1
8,4,5,"[""kritiker""]",,,1
9,5,1,"[""forfatter""]",,,1
10,5,6,"[""kritiker""]",,"M.F.",1
11,6,1,"[""forfatter""]",,,1
12,7,7,"[""forfatter""]",,,1
13,7,1,"[""kritiker""]",,,1
14,8,8,"[""forfatter""]",,,1
15,8,9,"[""kritiker""]",,,1
16,9,8,"[""forfatter""]",,,1
17,9,9,"[""kritiker""]",,,1
18,10,8,"[""forfatter""]",,,1
19,11,8,"[""forfatter""]",,,1
20,11,9,"[""kritiker""]",,,1
21,12,8,"[""forfatter""]",,,1
22,12,9,"[""kritiker""]",,,1
23,13,8,"[""forfatter""]",,,1
24,13,9,"[""kritiker""]",,,1
25,14,8,"[""forfatter""]",,,1
26,14,10,"[""kritiker""]",,"M.S.",1
27,15,11,"[""forfatter""]",,,1
28,15,12,"[""kritiker""]",,,1
29,16,11,"[""forfatter""]",,,1
30,16,13,"[""kritiker""]",,,1
31,17,11,"[""forfatter""]",,,1
32,18,11,"[""forfatter""]",,,1
33,18,9,"[""kritiker""]",,,1
34,19,11,"[""forfatter""]",,,1
35,19,14,"[""kritiker""]",,,1
36,20,11,"[""forfatter""]",,,1
37,20,9,"[""kritiker""]",,,1
38,21,11,"[""forfatter""]",,,1
39,22,11,"[""forfatter""]",,,1
40,22,15,"[""kritiker""]",,,1
41,23,11,"[""forfatter""]",,,1
42,23,9,"[""kritiker""]",,,1
43,24,11,"[""forfatter""]",,,1
44,24,9,"[""kritiker""]",,,1
45,25,11,"[""forfatter""]",,,1
46,25,9,"[""kritiker""]",,,1
47,26,11,"[""forfatter""]",,,1
48,26,9,"[""kritiker""]",,,1
49,27,11,"[""forfatter""]",,,1
50,27,9,"[""kritiker""]",,,1
51,28,11,"[""forfatter""]",,,1
52,28,9,"[""kritiker""]",,,1
53,29,11,"[""forfatter""]",,,1
54,29,9,"[""kritiker""]",,,1
55,30,11,"[""forfatter""]",,,1
56,30,9,"[""kritiker""]",,,1
57,31,11,"[""forfatter""]",,,1
58,31,9,"[""kritiker""]",,,1
59,32,11,"[""forfatter""]",,,1
60,32,9,"[""kritiker""]",,,1
61,33,11,"[""forfatter""]",,,1
62,33,9,"[""kritiker""]",,,1
63,34,11,"[""forfatter""]",,,1
64,34,9,"[""kritiker""]",,,1
